Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Price,Screen_Size_inch,Weight_pounds,Screen_Full HD,Screen_IPS Panel
0,Acer,4,2,1,5,0.5517241379310345,8,256,978,14.0,3.52739619488,False,True
1,Dell,3,1,1,3,0.6896551724137931,4,256,634,15.600000000000001,4.850169767960001,True,False
2,Dell,3,1,1,7,0.9310344827586208,8,256,946,15.600000000000001,4.850169767960001,True,False
3,Dell,4,2,1,5,0.5517241379310345,8,128,1244,13.299999999999999,2.689639598596,False,True
4,HP,4,2,1,7,0.6206896551724138,8,256,837,15.600000000000001,4.210829207638,True,False
5,Dell,3,1,1,5,0.5517241379310345,8,256,1016,15.600000000000001,4.850169767960001,True,False
6,HP,3,3,1,5,0.5517241379310345,8,256,1117,15.600000000000001,4.62970750578,True,False
7,Acer,3,2,1,5,0.5517241379310345,4,256,866,15.0,4.850169767960001,False,True
8,Dell,3,1,1,5,0.8620689655172414,4,256,812,15.600000000000001,5.07063203014,True,False
9,Acer,3,3,1,7,0.6206896551724138,8,256,1068,15.0,4.850169767960001,False,True
10,Dell,3,1,1,7,0.6206896551724138,8,256,975,15.600000000000001,4.695846184434,True,False
11,HP,3,2,1,3,0.6896551724137931,4,128,558,15.600000000000001,4.210829207638,True,False
12,Asus,3,2,2,3,0.6896551724137931,4,256,527,15.600000000000001,4.4092452436,True,False
13,Dell,4,2,1,5,0.5517241379310345,8,256,1117,14.0,3.74785845706,True,False
14,Asus,3,2,1,5,0.5517241379310345,8,256,1195,14.0,3.08647167052,True,False
15,HP,3,2,1,5,0.8620689655172414,8,256,876,15.600000000000001,4.100598076548001,True,False
16,Dell,4,1,1,7,0.6206896551724138,8,256,1213,13.000000000000002,3.08647167052,False,True
17,Dell,3,1,1,7,0.6206896551724138,8,256,1105,15.600000000000001,4.850169767960001,True,False
18,Dell,4,2,1,5,0.5517241379310345,8,256,1392,15.0,4.1446905289839995,False,True
19,HP,3,2,1,5,0.5517241379310345,8,256,1092,14.0,3.593534873534,True,False
20,HP,4,3,1,7,0.6206896551724138,8,256,888,15.0,4.034459397894,False,True
21,HP,3,2,1,5,0.8620689655172414,8,256,761,15.600000000000001,4.3210603387279996,True,False
22,Dell,4,2,1,7,0.6206896551724138,8,256,2095,13.000000000000002,2.667593372378,False,True
23,Dell,1,3,1,5,0.8620689655172414,8,256,1518,15.600000000000001,5.84224994777,True,False
24,Asus,4,2,1,7,0.9310344827586208,8,256,1333,14.0,2.75577827725,True,False
25,Dell,3,1,2,3,0.6896551724137931,4,256,616,15.600000000000001,4.850169767960001,True,False
26,Asus,3,3,1,3,0.8275862068965517,6,256,733,15.600000000000001,4.4092452436,True,False
27,HP,3,1,1,7,0.9310344827586208,8,256,913,15.600000000000001,4.210829207638,True,False
28,HP,4,3,1,7,0.9310344827586208,8,256,1421,13.000000000000002,3.0423792180839997,False,True
29,HP,3,3,1,5,0.8620689655172414,6,256,837,14.0,4.105518264373476,False,True
30,Asus,4,3,1,7,0.9310344827586208,8,256,1515,14.0,2.86600940834,False,True
31,Lenovo,3,2,1,7,0.9310344827586208,8,256,1880,14.0,3.4833037424440003,False,True
32,Dell,4,2,1,5,0.5517241379310345,8,256,2069,13.000000000000002,2.667593372378,False,True
33,Asus,3,3,1,7,0.6206896551724138,8,256,1420,15.600000000000001,3.74785845706,True,False
34,HP,3,2,1,5,0.5517241379310345,8,256,1179,17.3,5.5115565545,True,False
35,Acer,4,2,1,7,0.6206896551724138,8,256,1123,14.0,3.52739619488,False,True
36,Acer,3,3,1,3,0.9310344827586208,4,256,727,15.600000000000001,4.850169767960001,True,False
37,HP,3,2,1,7,0.6206896551724138,8,256,1255,14.0,3.593534873534,True,False
38,HP,3,2,1,5,0.8620689655172414,4,256,888,13.000000000000002,4.105518264373476,False,True
39,Lenovo,3,1,1,5,0.5517241379310345,8,256,1418,14.0,3.85808958815,False,True
40,Asus,4,2,1,7,0.6206896551724138,8,256,1396,14.0,2.75577827725,True,False
41,HP,4,2,1,5,0.9310344827586208,4,256,1374,14.0,3.262841480264,True,False
42,HP,3,1,1,5,0.5517241379310345,6,256,786,15.600000000000001,4.210829207638,True,False
43,Acer,3,3,1,5,0.5517241379310345,4,256,1023,17.0,6.6138678654,False,True
44,Dell,3,1,1,5,0.5517241379310345,8,256,925,15.600000000000001,4.695846184434,True,False
45,Lenovo,1,3,1,7,0.9655172413793103,16,256,1371,15.0,5.5115565545,False,True
46,Acer,3,3,1,5,0.5517241379310345,8,256,1085,17.0,6.6138678654,False,True
47,Huawei,4,2,1,5,0.8620689655172414,8,256,1714,13.000000000000002,2.31485375289,False,True
48,HP,3,3,1,5,0.5517241379310345,8,256,1172,17.3,5.5115565545,True,False
49,Dell,4,2,1,5,0.5517241379310345,8,256,1777,13.299999999999999,4.105518264373476,True,False
50,Acer,4,2,1,5,0.41379310344827586,8,256,1256,13.000000000000002,2.469177336416,False,True
51,HP,3,3,1,7,0.6206896551724138,8,256,1327,17.3,5.5115565545,True,False
52,Dell,4,2,1,7,0.6206896551724138,8,256,1841,13.299999999999999,2.6455471461599998,True,False
53,Dell,4,1,1,7,0.6206896551724138,8,256,1184,13.000000000000002,3.08647167052,False,True
54,HP,3,3,1,7,0.6206896551724138,8,256,1310,14.0,3.593534873534,True,False
55,Dell,4,2,1,5,0.5517241379310345,8,256,1460,14.0,3.52739619488,True,False
56,Dell,3,1,2,5,0.5517241379310345,8,256,860,15.600000000000001,4.850169767960001,True,False
57,Toshiba,4,2,1,7,0.8620689655172414,8,256,1731,13.299999999999999,2.6455471461599998,True,False
58,Acer,3,3,1,7,0.9310344827586208,8,256,1057,15.600000000000001,4.850169767960001,True,False
59,Asus,3,3,1,5,0.8620689655172414,8,256,977,15.600000000000001,4.4092452436,True,False
60,Dell,3,2,1,5,0.8620689655172414,8,256,1091,14.0,3.52739619488,True,False
61,Dell,3,1,2,7,0.9310344827586208,16,256,1142,15.600000000000001,4.105518264373476,True,False
62,Acer,1,3,1,5,0.8620689655172414,8,256,1075,15.0,5.5115565545,False,True
63,Dell,1,3,1,5,0.8620689655172414,8,256,1117,15.600000000000001,5.6438339118080005,True,False
64,Asus,1,3,1,7,1.0,16,256,3810,17.3,7.936641438480001,True,False
65,Acer,3,3,1,3,0.9310344827586208,4,256,892,17.0,6.6138678654,False,True
66,Dell,4,2,1,5,0.5517241379310345,8,256,1206,13.299999999999999,3.108517896738,True,False
67,Lenovo,3,2,1,7,0.6206896551724138,8,256,1118,15.600000000000001,4.51947637469,True,False
68,Dell,3,1,2,7,0.6206896551724138,8,256,934,15.600000000000001,4.105518264373476,True,False
69,Lenovo,1,3,1,5,0.8620689655172414,8,256,1053,15.0,5.5115565545,False,True
70,Lenovo,3,2,1,5,0.8620689655172414,6,256,735,15.600000000000001,4.850169767960001,True,False
71,Acer,3,3,1,7,0.6206896551724138,8,256,1208,15.0,6.6138678654,False,True
72,Lenovo,3,2,1,7,0.9310344827586208,8,256,1394,15.0,4.29901411251,False,True
73,Asus,4,3,1,5,0.8620689655172414,8,256,1241,15.600000000000001,3.74785845706,True,False
74,Dell,3,3,1,7,0.9655172413793103,8,256,2323,15.600000000000001,4.4092452436,True,False
75,Lenovo,3,2,1,5,0.5517241379310345,8,256,939,15.600000000000001,4.51947637469,True,False
76,Acer,3,3,2,7,0.9655172413793103,8,256,1244,15.600000000000001,5.5115565545,True,False
77,Dell,5,3,1,7,1.0,16,256,3665,17.3,7.539809366556,True,False
78,Toshiba,3,3,1,7,0.8620689655172414,8,256,1325,15.0,4.850169767960001,False,True
79,Lenovo,3,2,1,5,0.8620689655172414,8,256,1269,13.000000000000002,2.4250848839800003,False,True
80,HP,3,2,1,5,0.8620689655172414,8,256,1245,14.0,4.29901411251,True,False
81,HP,3,2,1,7,0.9310344827586208,8,256,1641,14.0,3.262841480264,True,False
82,Asus,3,2,1,7,0.9310344827586208,8,256,1390,14.0,4.4092452436,True,False
83,Asus,4,3,1,7,0.9310344827586208,8,256,1334,15.600000000000001,3.74785845706,True,False
84,HP,4,2,1,7,0.9310344827586208,8,256,1696,12.5,2.777824503468,True,False
85,Toshiba,3,2,1,5,0.8620689655172414,8,256,1198,15.0,4.4092452436,False,True
86,Asus,1,3,1,7,0.9655172413793103,8,256,1269,15.600000000000001,5.5115565545,True,False
87,HP,3,2,1,5,0.896551724137931,8,256,1611,14.0,3.262841480264,True,False
88,HP,3,2,1,5,0.8620689655172414,8,256,1453,15.600000000000001,4.056505624112,True,False
89,Dell,3,3,1,5,0.5517241379310345,8,256,1452,15.600000000000001,4.4092452436,True,False
90,Dell,4,2,1,7,0.6206896551724138,8,256,2006,13.299999999999999,2.6455471461599998,True,False
91,HP,3,2,1,7,0.9310344827586208,8,256,1656,15.600000000000001,4.056505624112,True,False
92,HP,5,3,1,7,0.9655172413793103,8,256,2208,15.600000000000001,5.73201881668,True,False
93,Dell,3,2,1,5,0.896551724137931,8,256,1813,14.0,2.9982867656480003,True,False
94,Asus,3,2,1,5,0.8620689655172414,8,256,1200,14.0,4.4092452436,True,False
95,Dell,3,1,1,7,0.9310344827586208,8,256,1142,15.600000000000001,5.136770708794,True,False
96,HP,4,2,1,7,0.9310344827586208,8,256,2223,14.0,2.9982867656480003,False,True
97,Lenovo,3,3,1,5,0.8620689655172414,8,256,1396,14.0,3.3069339327,False,True
98,Lenovo,3,2,1,3,0.8275862068965517,4,128,697,13.000000000000002,3.3069339327,False,True
99,Dell,5,3,1,7,0.9310344827586208,8,256,2712,15.0,4.4092452436,False,True
100,MSI,1,3,1,7,0.9655172413793103,8,256,1714,17.3,5.95248107886,True,False
101,Dell,3,1,2,7,0.9310344827586208,8,256,989,15.600000000000001,5.136770708794,True,False
102,Lenovo,3,1,1,7,0.6206896551724138,8,256,1562,15.0,4.62970750578,False,True
103,Lenovo,3,2,1,5,0.8620689655172414,8,256,1192,14.0,4.18878298142,False,True
104,Acer,3,3,2,7,0.9655172413793103,8,256,1117,15.600000000000001,5.5115565545,True,False
105,Dell,3,1,2,5,0.8620689655172414,4,256,761,15.600000000000001,5.07063203014,True,False
106,HP,4,2,1,7,0.8620689655172414,8,256,1905,14.0,3.152610349174,True,False
107,Lenovo,4,1,1,7,0.6206896551724138,8,256,1544,14.0,3.85808958815,False,True
108,HP,3,2,1,7,1.0,8,256,1813,15.600000000000001,5.092678256358,True,False
109,Dell,4,2,2,7,0.9655172413793103,8,256,1396,14.0,3.52739619488,True,False
110,Lenovo,3,2,1,7,0.9310344827586208,8,256,1283,13.000000000000002,3.08647167052,False,True
111,Lenovo,3,2,1,3,0.9310344827586208,4,128,761,14.0,3.74785845706,False,True
112,Asus,3,2,2,5,0.8620689655172414,4,256,710,15.600000000000001,4.4092452436,True,False
113,Dell,3,1,1,5,0.5517241379310345,4,256,951,15.600000000000001,4.850169767960001,True,False
114,Lenovo,4,2,1,5,0.8620689655172414,8,256,1815,12.0,2.9982867656480003,False,True
115,Dell,3,3,1,5,0.9655172413793103,8,256,1498,14.0,3.6155810997519997,True,False
116,MSI,1,3,1,5,0.8620689655172414,8,256,1306,15.600000000000001,4.850169767960001,True,False
117,Dell,5,3,1,7,0.9310344827586208,16,256,2509,15.0,4.784031089306,False,True
118,Lenovo,3,2,1,5,0.8620689655172414,8,256,1709,14.0,3.63762732597,True,False
119,Lenovo,3,3,1,7,1.0,8,256,2655,15.600000000000001,5.886342400206,True,False
120,Dell,4,2,1,5,0.5517241379310345,8,256,2340,15.600000000000001,3.1305641229559997,True,False
121,Dell,5,3,1,7,0.9655172413793103,8,256,3059,15.600000000000001,3.924228266804,True,False
122,Toshiba,3,2,1,5,0.8620689655172414,8,256,2124,13.000000000000002,2.31485375289,False,True
123,HP,3,2,1,5,0.5517241379310345,4,128,922,13.000000000000002,3.284887706482,False,True
124,Lenovo,3,2,1,5,0.5517241379310345,8,256,1333,14.0,3.85808958815,False,True
125,Lenovo,3,3,1,5,0.8620689655172414,8,256,1286,15.0,5.07063203014,False,True
126,Lenovo,3,2,1,7,0.6206896551724138,8,256,1142,15.600000000000001,4.784031089306,True,False
127,Lenovo,3,2,1,3,0.8275862068965517,8,256,1206,13.000000000000002,3.08647167052,False,True
128,Lenovo,3,2,1,5,0.8620689655172414,8,256,1157,15.0,5.07063203014,False,True
129,Lenovo,3,2,1,5,0.8620689655172414,8,256,1206,13.299999999999999,3.174656575392,True,False
130,Dell,4,2,1,5,0.8620689655172414,8,128,1142,13.299999999999999,2.843963182122,False,True
131,HP,3,3,1,5,0.8620689655172414,8,256,1129,15.600000000000001,4.4974301484720005,True,False
132,HP,4,2,1,7,0.9310344827586208,8,256,1777,13.000000000000002,2.9101018607760003,False,True
133,Dell,3,2,1,5,0.896551724137931,8,256,1626,14.0,3.6155810997519997,True,False
134,Lenovo,3,2,1,5,0.793103448275862,8,256,1702,14.0,4.453337696036,True,False
135,Dell,3,2,1,5,0.9655172413793103,8,256,1749,15.600000000000001,4.18878298142,True,False
136,Dell,3,3,1,7,0.9655172413793103,8,256,1739,15.600000000000001,4.254921660074,True,False
137,Dell,3,1,1,5,0.5517241379310345,8,256,1013,15.600000000000001,4.850169767960001,True,False
138,Lenovo,3,3,1,7,0.9310344827586208,8,256,1091,14.0,4.122644302766,False,True
139,Dell,3,2,1,3,0.6896551724137931,4,128,935,14.0,3.52739619488,True,False
140,HP,3,2,1,3,0.8275862068965517,4,128,896,15.600000000000001,4.62970750578,True,False
141,Lenovo,3,2,1,3,0.6896551724137931,4,128,634,15.600000000000001,4.850169767960001,True,False
142,Dell,3,2,1,5,0.8620689655172414,8,256,1419,15.600000000000001,4.18878298142,True,False
143,Lenovo,3,2,1,3,0.9310344827586208,4,128,800,15.600000000000001,4.51947637469,True,False
144,Lenovo,3,3,1,7,0.9655172413793103,8,256,3810,17.0,7.49571691412,False,True
145,Lenovo,3,2,1,5,0.8620689655172414,8,256,1054,15.600000000000001,5.07063203014,True,False
146,Dell,3,1,2,7,0.9310344827586208,8,256,951,15.600000000000001,4.850169767960001,True,False
147,HP,3,2,1,3,0.8275862068965517,4,128,913,13.299999999999999,3.284887706482,True,False
148,Dell,3,3,1,7,0.9655172413793103,16,256,1953,15.600000000000001,4.254921660074,True,False
149,Lenovo,4,2,1,7,0.896551724137931,12,256,2125,14.0,3.08647167052,False,True
150,Lenovo,3,2,1,5,0.8620689655172414,8,256,1872,14.0,3.74785845706,False,True
151,Dell,5,3,1,7,0.9655172413793103,8,256,2240,15.600000000000001,4.541522600908,True,False
152,HP,3,2,1,7,0.9310344827586208,8,256,1548,15.600000000000001,4.056505624112,True,False
153,Toshiba,3,2,1,7,0.8620689655172414,8,256,1777,15.0,4.850169767960001,False,True
154,Dell,3,1,2,5,0.8620689655172414,4,128,723,15.600000000000001,4.806077315524,True,False
155,Lenovo,3,2,1,5,0.793103448275862,8,256,1861,14.0,3.63762732597,True,False
156,Dell,3,3,1,7,0.9655172413793103,8,256,2312,15.600000000000001,4.4092452436,True,False
157,Lenovo,3,2,1,5,0.5517241379310345,4,256,1053,15.600000000000001,3.9683207192400003,True,False
158,Acer,4,2,1,5,0.8620689655172414,8,256,1167,14.0,3.9683207192400003,False,True
159,Razer,1,3,1,7,0.9655172413793103,16,256,3301,14.0,4.29901411251,True,False
160,Toshiba,3,2,1,5,0.793103448275862,8,256,1541,13.299999999999999,2.6455471461599998,True,False
161,Lenovo,4,2,1,7,0.9310344827586208,8,256,2012,12.0,2.9982867656480003,False,True
162,Dell,4,2,1,5,0.5517241379310345,8,256,1842,13.299999999999999,2.6455471461599998,True,False
163,Dell,3,1,1,7,0.6206896551724138,8,256,1167,15.600000000000001,4.850169767960001,True,False
164,Dell,3,2,1,5,0.8275862068965517,8,256,1561,14.0,3.439211290008,True,False
165,Toshiba,3,2,1,5,0.8620689655172414,8,256,1598,15.0,4.4092452436,False,True
166,Asus,4,2,1,5,0.8620689655172414,8,256,1442,14.0,2.4250848839800003,True,False
167,Acer,1,3,1,5,0.8620689655172414,16,256,1650,15.600000000000001,5.5115565545,True,False
168,MSI,1,3,1,5,0.8620689655172414,8,256,1268,15.600000000000001,4.850169767960001,True,False
169,HP,3,1,1,3,0.6896551724137931,4,256,888,17.0,5.5115565545,False,True
170,Lenovo,3,2,1,5,0.8620689655172414,4,256,888,14.0,3.74785845706,True,False
171,Toshiba,3,2,1,5,0.8620689655172414,8,256,1236,13.000000000000002,3.3069339327,False,True
172,Dell,3,2,1,5,0.8620689655172414,8,256,1010,15.600000000000001,4.806077315524,True,False
173,Lenovo,3,2,1,5,0.793103448275862,8,256,1513,14.0,3.9683207192400003,True,False
174,Dell,3,3,2,5,0.9655172413793103,8,256,1383,14.0,3.6155810997519997,True,False
175,Lenovo,3,3,1,5,0.8620689655172414,8,256,1089,14.0,4.122644302766,False,True
176,Dell,3,2,1,5,0.896551724137931,8,256,1498,15.600000000000001,4.18878298142,True,False
177,HP,3,3,1,7,0.9310344827586208,8,256,1524,17.3,5.798157495333999,True,False
178,Lenovo,4,2,1,5,0.8620689655172414,8,256,1904,14.0,2.9101018607760003,False,True
179,Lenovo,3,2,1,5,0.8620689655172414,8,256,1219,13.000000000000002,3.174656575392,False,True
180,HP,5,3,1,7,0.9655172413793103,16,256,3073,15.600000000000001,5.73201881668,True,False
181,Toshiba,3,2,1,5,0.8620689655172414,8,256,1950,14.0,2.75577827725,False,True
182,Samsung,4,2,1,7,0.9310344827586208,16,256,2095,13.299999999999999,1.7857443236580002,True,False
183,HP,3,2,1,3,0.6896551724137931,8,256,685,15.600000000000001,4.100598076548001,True,False
184,HP,3,2,1,5,0.8275862068965517,8,256,2414,15.600000000000001,4.056505624112,True,False
185,HP,5,3,1,7,0.896551724137931,8,256,1983,15.600000000000001,5.709972590462,True,False
186,Dell,4,2,1,7,0.9655172413793103,16,256,2361,12.5,2.601454693724,True,False
187,Samsung,4,2,1,7,0.9310344827586208,8,256,2031,15.600000000000001,2.888055634558,True,False
188,Dell,3,1,1,7,0.9310344827586208,16,256,1501,15.600000000000001,5.07063203014,True,False
189,Acer,3,2,1,3,0.8275862068965517,4,128,808,14.0,3.9683207192400003,False,True
190,Dell,1,3,1,5,0.8620689655172414,8,256,1251,15.600000000000001,5.776111269116,True,False
191,Dell,3,1,1,3,0.6896551724137931,8,256,939,15.600000000000001,4.4092452436,True,False
192,HP,5,3,1,7,0.9655172413793103,8,256,2623,15.600000000000001,6.922515032452,True,False
193,Asus,3,2,1,5,0.8620689655172414,8,256,1396,15.600000000000001,5.224955613666,True,False
194,Dell,4,2,1,5,0.8620689655172414,8,256,1904,13.299999999999999,2.843963182122,True,False
195,Samsung,4,2,1,5,0.8620689655172414,8,256,1904,13.299999999999999,1.7857443236580002,True,False
196,Dell,3,1,1,5,0.8620689655172414,8,256,1003,15.600000000000001,4.806077315524,True,False
197,Lenovo,4,2,1,7,0.9310344827586208,8,256,2361,14.0,2.9101018607760003,True,False
198,MSI,1,3,1,5,0.8620689655172414,8,256,1523,15.600000000000001,5.2910942923199995,True,False
199,Acer,3,2,1,3,0.8275862068965517,8,128,786,14.0,3.3069339327,False,True
200,Lenovo,3,2,1,5,0.793103448275862,8,256,1507,14.0,3.74785845706,True,False
201,Lenovo,3,2,1,5,0.896551724137931,8,256,2096,14.0,2.9101018607760003,False,True
202,Dell,3,1,1,7,0.9310344827586208,4,256,939,15.600000000000001,4.806077315524,True,False
203,Lenovo,4,3,1,7,0.9655172413793103,8,256,2417,14.0,4.3210603387279996,False,True
204,Asus,3,3,1,7,0.9310344827586208,8,256,1000,15.0,5.07063203014,False,True
205,Dell,3,2,1,5,0.8620689655172414,8,128,1200,15.600000000000001,4.18878298142,True,False
206,HP,3,1,1,5,0.896551724137931,8,256,1714,15.600000000000001,4.056505624112,True,False
207,Toshiba,3,2,1,5,0.8620689655172414,4,128,1632,13.299999999999999,2.31485375289,True,False
208,Acer,3,2,1,5,0.8620689655172414,8,256,1146,14.0,3.439211290008,False,True
209,Toshiba,3,2,1,7,0.9310344827586208,8,256,1763,15.0,4.4092452436,False,True
210,Samsung,4,3,1,7,0.9310344827586208,16,256,2349,15.0,2.711685824814,True,False
211,Dell,4,2,1,7,0.9655172413793103,8,256,2147,12.5,3.52739619488,True,False
212,Xiaomi,4,3,1,5,0.793103448275862,8,256,1188,13.000000000000002,2.8219169559040003,False,True
213,HP,3,2,1,5,0.8620689655172414,4,256,1066,15.600000000000001,4.4974301484720005,True,False
214,HP,3,2,1,5,0.8620689655172414,4,128,1607,14.0,4.29901411251,True,False
215,Samsung,4,2,1,7,0.9310344827586208,8,256,2158,15.0,2.579408467506,True,False
216,Lenovo,4,2,1,5,0.8620689655172414,8,256,2285,14.0,2.9101018607760003,False,True
217,Toshiba,3,2,1,5,0.8620689655172414,8,256,1874,13.299999999999999,2.31485375289,True,False
218,Dell,3,2,1,5,0.9655172413793103,8,256,1531,14.0,3.52739619488,True,False
219,Lenovo,3,3,1,7,0.9310344827586208,6,256,1002,15.600000000000001,4.850169767960001,True,False
220,HP,3,3,1,7,0.9310344827586208,8,256,1294,15.600000000000001,4.4974301484720005,True,False
221,Lenovo,3,2,1,5,0.8620689655172414,4,128,1119,13.299999999999999,3.174656575392,True,False
222,HP,3,2,1,5,0.8620689655172414,8,256,1219,13.299999999999999,3.284887706482,True,False
223,HP,4,1,1,7,0.8620689655172414,8,256,1648,15.600000000000001,4.056505624112,True,False
224,Toshiba,3,3,1,7,0.896551724137931,16,256,2509,15.0,5.2910942923199995,False,True
225,Lenovo,4,2,1,7,0.9310344827586208,8,256,2096,12.0,2.9982867656480003,False,True
226,HP,3,2,1,5,0.793103448275862,8,256,1480,15.600000000000001,5.092678256358,True,False
227,Toshiba,3,2,1,5,0.793103448275862,4,128,1404,14.0,3.240795254046,False,True
228,HP,2,2,1,5,0.793103448275862,8,256,2120,12.5,2.777824503468,True,False
229,Dell,4,2,1,5,0.8620689655172414,8,256,2082,14.0,2.9982867656480003,True,False
230,Dell,4,2,1,5,0.8620689655172414,8,256,1870,15.600000000000001,2.9982867656480003,True,False
231,Dell,4,2,1,7,0.9655172413793103,8,256,2255,14.0,2.9982867656480003,True,False
232,Toshiba,3,2,1,5,0.793103448275862,8,256,1855,13.299999999999999,2.6455471461599998,True,False
233,Lenovo,4,2,1,7,0.896551724137931,8,256,1891,14.0,3.74785845706,False,True
234,Toshiba,3,2,1,5,0.8275862068965517,8,256,1950,13.299999999999999,2.6455471461599998,True,False
235,Lenovo,4,2,1,5,0.896551724137931,8,256,2236,12.0,2.9982867656480003,False,True
236,Lenovo,3,3,1,5,0.8620689655172414,6,256,883,15.600000000000001,5.2910942923199995,True,False
237,Toshiba,3,2,1,5,0.793103448275862,8,256,1499,14.0,4.29901411251,True,False
